indexs,10.24.49.154,10.24.49.154,10.24.64.118,10.39.11.174,10.39.18.40,10.49.137.199,10.49.137.87,10.49.223.163,10.49.223.194,10.49.253.35,10.49.253.53,10.49.36.147,10.49.81.218
2019-06-06 00:10:00,4.0,4.0,1064,0.0,0.0,0.0,0.0,141,0.0,410,24,0.0,142
2019-06-06 00:20:00,0.0,0.0,1060,0.0,0.0,0.0,0.0,4142,0.0,403,24,0.0,121
2019-06-06 00:30:00,0.0,0.0,1063,0.0,0.0,0.0,0.0,527,0.0,400,24,0.0,37
2019-06-06 00:40:00,0.0,0.0,1044,0.0,0.0,0.0,0.0,63,0.0,393,24,0.0,65
2019-06-06 00:50:00,0.0,0.0,1027,0.0,0.0,0.0,0.0,77,0.0,395,24,0.0,85
2019-06-06 01:00:00,0.0,0.0,1078,0.0,0.0,0.0,0.0,4806,0.0,396,24,0.0,56
2019-06-06 01:10:00,3.0,3.0,1067,0.0,0.0,0.0,0.0,142,0.0,384,24,0.0,126
2019-06-06 01:20:00,0.0,0.0,1066,0.0,0.0,0.0,0.0,61,0.0,390,23,0.0,108
2019-06-06 01:30:00,0.0,0.0,1065,0.0,0.0,0.0,0.0,62,0.0,379,24,0.0,42
2019-06-06 01:40:00,32.0,32.0,1052,0.0,0.0,0.0,0.0,15,0.0,380,24,0.0,74
2019-06-06 01:50:00,396.0,396.0,1056,0.0,0.0,0.0,0.0,0,0.0,380,24,0.0,241
2019-06-06 02:00:00,394.0,394.0,1051,0.0,0.0,0.0,0.0,0,0.0,376,24,0.0,1142
2019-06-06 02:10:00,3.0,3.0,1069,0.0,0.0,0.0,0.0,1,0.0,375,23,0.0,523
2019-06-06 02:20:00,0.0,0.0,1078,0.0,0.0,0.0,0.0,0,0.0,375,24,0.0,163
2019-06-06 02:30:00,0.0,0.0,1086,0.0,0.0,0.0,0.0,2158,0.0,376,24,0.0,47
2019-06-06 02:40:00,0.0,0.0,1073,0.0,0.0,0.0,0.0,126,0.0,374,24,0.0,32
2019-06-06 02:50:00,0.0,0.0,1077,0.0,0.0,0.0,0.0,0,0.0,375,24,0.0,134
2019-06-06 03:00:00,0.0,0.0,1070,0.0,0.0,0.0,0.0,0,0.0,376,24,0.0,49
2019-06-06 03:10:00,3.0,3.0,1057,0.0,0.0,0.0,0.0,1496,0.0,368,20,0.0,62
2019-06-06 03:20:00,0.0,0.0,1054,0.0,0.0,0.0,0.0,6,0.0,366,19,0.0,102
2019-06-06 03:30:00,0.0,0.0,1052,0.0,0.0,0.0,0.0,0,0.0,369,20,0.0,35
2019-06-06 03:40:00,0.0,0.0,1032,0.0,0.0,0.0,0.0,0,0.0,368,20,0.0,29
2019-06-06 03:50:00,0.0,0.0,1049,0.0,0.0,0.0,0.0,0,0.0,367,20,0.0,124
2019-06-06 04:00:00,0.0,0.0,1035,0.0,0.0,0.0,0.0,0,0.0,372,20,0.0,39
2019-06-06 04:10:00,3.0,3.0,1003,0.0,0.0,0.0,0.0,1,0.0,368,19,0.0,62
2019-06-06 04:20:00,0.0,0.0,1032,0.0,0.0,0.0,0.0,0,0.0,368,20,0.0,112
2019-06-06 04:30:00,0.0,0.0,1048,0.0,0.0,0.0,0.0,0,0.0,367,22,0.0,127
2019-06-06 04:40:00,0.0,0.0,1058,0.0,0.0,0.0,0.0,0,0.0,369,20,0.0,259
2019-06-06 04:50:00,0.0,0.0,996,0.0,0.0,0.0,0.0,1,0.0,370,20,0.0,119
2019-06-06 05:00:00,0.0,0.0,1045,0.0,0.0,0.0,0.0,0,0.0,360,20,0.0,35
2019-06-06 05:10:00,3.0,3.0,1012,0.0,0.0,0.0,0.0,94,0.0,365,19,0.0,62
