record_time,uplink_length,downlink_length
2019-06-13 02:00:00,68,68
2019-06-13 02:05:00,0,0
2019-06-13 02:10:00,0,0
2019-06-13 02:15:00,0,0
2019-06-13 02:20:00,0,0
2019-06-13 02:25:00,0,0
2019-06-13 02:30:00,0,0
2019-06-13 02:35:00,0,0
2019-06-13 02:40:00,0,0
2019-06-13 02:45:00,0,0
2019-06-13 02:50:00,0,0
2019-06-13 02:55:00,0,0
2019-06-13 03:00:00,0,0
2019-06-13 03:05:00,0,0
2019-06-13 03:10:00,0,0
2019-06-13 03:15:00,0,0
2019-06-13 03:20:00,0,0
2019-06-13 03:25:00,0,0
2019-06-13 03:30:00,0,0
2019-06-13 03:35:00,0,0
2019-06-13 03:40:00,0,0
2019-06-13 03:45:00,0,0
2019-06-13 03:50:00,0,0
2019-06-13 03:55:00,0,0
2019-06-13 04:00:00,0,0
2019-06-13 04:05:00,0,0
2019-06-13 04:10:00,0,0
2019-06-13 04:15:00,0,0
2019-06-13 04:20:00,0,0
2019-06-13 04:25:00,0,0
2019-06-13 04:30:00,0,0
2019-06-13 04:35:00,0,0
2019-06-13 04:40:00,0,0
2019-06-13 04:45:00,0,0
2019-06-13 04:50:00,0,0
2019-06-13 04:55:00,0,0
2019-06-13 05:00:00,0,0
2019-06-13 05:05:00,0,0
2019-06-13 05:10:00,0,0
2019-06-13 05:15:00,0,0
2019-06-13 05:20:00,0,0
2019-06-13 05:25:00,0,0
2019-06-13 05:30:00,0,0
2019-06-13 05:35:00,0,0
2019-06-13 05:40:00,0,0
2019-06-13 05:45:00,0,0
2019-06-13 05:50:00,0,0
2019-06-13 05:55:00,0,0
2019-06-13 06:00:00,0,0
2019-06-13 06:05:00,0,0
2019-06-13 06:10:00,0,0
2019-06-13 06:15:00,0,0
2019-06-13 06:20:00,0,0
2019-06-13 06:25:00,0,0
2019-06-13 06:30:00,0,0
2019-06-13 06:35:00,0,0
2019-06-13 06:40:00,0,0
2019-06-13 06:45:00,0,0
2019-06-13 06:50:00,0,0
2019-06-13 06:55:00,0,0
2019-06-13 07:00:00,0,0
2019-06-13 07:05:00,0,0
2019-06-13 07:10:00,0,0
2019-06-13 07:15:00,0,0
2019-06-13 07:20:00,0,0
2019-06-13 07:25:00,0,0
2019-06-13 07:30:00,0,0
2019-06-13 07:35:00,0,0
2019-06-13 07:40:00,0,0
2019-06-13 07:45:00,0,0
2019-06-13 07:50:00,0,0
2019-06-13 07:55:00,0,0
2019-06-13 08:00:00,0,0
2019-06-13 08:05:00,0,0
2019-06-13 08:10:00,0,0
2019-06-13 08:15:00,0,0
2019-06-13 08:20:00,0,0
2019-06-13 08:25:00,0,0
2019-06-13 08:30:00,0,0
